en1	fi1	en2	fi2	score
the man is planning to shoot a wedding	mies suunnittelee valokuvaavansa häät	the woman is going to a wedding.	nainen menee häihin.	1.400000
The boy in the green jersey plays goalie on the soccer team.	Vihreässä paidassa oleva poika pelaa maalivahtina jalkapallojoukkueessa.	The team in blue is playing a game against the team in white	Joukkue sinisissä pelaa ottelua valkoisissa olevaa joukkuetta vastaan.	1.000000
The child's bike got wet.	Lapsen pyörä kastui.	She is putting away the bike.	Hän laittaa polkupyörän pois.	1.200000
A soldier walks a dog.	Sotilas kävelyttää koiraa.	A man walks a dog.	Mies kävelyttää koiraa.	3.200000
A shirtless woman is operating a lawn mower.	Paidaton nainen käyttää ruohonleikkuria.	A girl is mowing the grass with a lawn mower.	Tyttö leikkaa ruohoa ruohonleikkurilla.	3.000000
People are near water	Ihmiset ovat lähellä vettä	People are near water.	Ihmiset ovat lähellä vettä.	5.000000
The two officers are driving	Kaksi poliisia ajavat.	Two officers are on horses.	Kaksi poliisia on hevosilla.	2.200000
Friends walk into a building	Ystävät kävelevät rakennukseen	a man walks along walkway to the store	mies kävelee kävelytietä pitkin kauppaan	0.400000
The lady looks sad because no one is buying her wares.	Nainen näyttää surulliselta, koska kukaan ei osta hänen tavaroitaan.	The lady is selling things.	Nainen myy asioita.	2.000000
The rollerblades are moving.	Rullaluistimet liikkuvat.	Two vehicles are going towards the camera.	Kaksi ajoneuvoa lähestyvät kameraa.	0.800000
There is a older man near a window.	Ikkunan lähellä on vanhempi mies.	A boy is near some stairs.	Poika on lähellä portaita.	0.400000
A guy and a girl are rock climbing with backpacks on.	Kaveri ja tyttö vuorikiipeilevät reput selässään.	Two boys are riding on a toy with a blonde girl running long side of them.	Kaksi poikaa ratsastaa lelulla vaalean tytön juostessa heidän rinnallaan.	0.000000
In Abu Dhabi the Golden Market is one of the premier public outdoor shopping areas.	Abu Dhabissa Golden Market on yksi johtavista julkisista ulkoilualueista.	A busy city square in an asian country.	Vilkas kaupungin aukio aasialaisessa maassa.	1.600000
A pregnant woman is in labor	Raskaana oleva nainen on synnyttämässä	a woman has a child.	naisella on lapsi.	1.600000
A flock of birds hovered over the sandy beach.	Lintuparvi leijuu hiekkarannan yläpuolella.	Birds are flying at a beach.	Linnut lentävät rannalla.	3.800000
people walk home	ihmiset kävelevät kotiin	People waiting.	Ihmiset odottavat.	1.600000
The religious people are enjoying the outdoors.	Uskonnolliset ihmiset nauttivat ulkoilmasta.	The group of people are enjoying the outdoors.	Ihmisryhmä nauttii ulkoilmasta.	3.600000
A girl in water without goggles or a swimming cap.	Tyttö vedessä ilman suojalaseja tai uimalakkia	A girl in water, with goggles and swimming cap.	Tyttö vedessä suojalaseissa ja uimalakissa.	3.000000
A man is performing a stunt outdoors.	Mies tekee temppua ulkona.	A young man on a beach is performing skateboard stunts.	Nuori mies rannalla tekee skeittitemppuja.	2.800000
A man is laughing with a woman	Mies nauraa naisen kanssa	A man and a woman laughing.	A man and a woman laughing.	4.800000
He is about to run into the boat	Hän on juoksemassa veneeseen	The man is getting his boat clean to take it out on the water.	Mies puhdistaa venettään laskeakseen sen vesille.	1.200000
2 Cows are in a field.	2 lehmää on pellolla.	Two sheep are in a field.	Kaksi lammasta on pellolla.	2.400000
A wet child enjoys the summer.	Märkä lapsi nauttii kesästä.	A woman is enjoying the summer weather.	Nainen nauttii kesäsäästä.	1.800000
There was girl stranded on the roof.	Katolla oli jumissa tyttö.	The couple was on the bed.	Pariskunta oli sängyllä.	0.200000
There are four snowboarders going off a jump and that are in the air.	On neljä lumilautailijaa, jotka lähtevät hyppyyn ja ovat ilmassa.	Two racers are coming to a turn.	Kaksi kilpailijaa on tulossa mutkaan.	1.000000
The girl has a driver's license	Tytöllä on ajokortti	A man has a driver's license.	Miehellä on ajokortti.	2.600000
People on motorcycles wearing racing gear ride around a racetrack	Kilpailuvarusteita käyttävät moottoripyöräilijä ajavat kilparadan ympäri	People on motorcycles ride around a racetrack	Ihmiset moottoripyörillä ajavat ympäri kilparataa.	3.800000
A man is standing on the ground with a paintbrush	Mies seisoo maassa siveltimen kanssa	A man with a crutch lying on the ground.	Mies kainalosauvan kanssa makaa maassa.	1.200000
The kids are at the theater watching a movie.	Lapset ovat teatterissa katsomassa elokuvaa.	it is picture day for the boys	on poikien kuvauspäivä	0.200000
Two women walk down the sidewalk to the store.	Kaksi naista kävelee jalkakäytävää pitkin kauppaan.	Two women walk down the sidewalk in the afternoon.	Kaksi naista kävelee jalkakäytävää pitkin iltapäivällä.	3.800000
A man has his son on his back	Miehellä on poikansa selässään	A man spent his time with his son.	Mies vietti aikaa poikansa kanssa.	2.400000
A group of dark-skinned people are walking past barbed wire.	Ryhmä tummanahkaisia ihmisiä kulkee piikkilangan ohi.	Two women are gossiping by a fence.	Kaksi naista juoruilee aidalla.	0.400000
Zombies parading around eating brains.	Zombeja marssii ympäriinsä syömässä aivoja.	The zombies are eating flesh together.	Zombit syövät lihaa yhdessä.	3.400000
A group of people are sitting at at a beach on towels watching the Blue Angels.	Ryhmä ihmisiä istuu rannalla pyyhkeillä katsellen Sinisiä Enkeleitä.	A group of people are sitting at a beach watching the Blue Angels.	Ryhmä ihmisiä istuu rannalla katsellen Sinisiä Enkeleitä.	4.200000
A basketball player makes the 5th rebound of the night,	Koripalloilija tekee illan viidennen levypallon,	A tennis player in the middle of a game.	Tennispelaaja keskellä peliä.	1.400000
Three people are meeting for coffee.	Kolme ihmistä tapaa kahvilla.	Two people make coffee.	Kaksi ihmistä keittää kahvia.	2.400000
A young girl with dirt on her face and a red child's bike is in the background.	Nuori tyttö likaa kasvoillaan ja punainen lasten pyörä taustalla.	The old woman in shorts and a white t-shirt is standing on a path watching children play.	Vanha nainen shortseissa ja valkoisessa t-paidassa seisoo polulla katsellen lasten leikkiä.	0.800000
A helicopter is getting ready to take off.	Helikopteri valmistautuu nousuun.	The plane is getting ready to take off.	Kone valmistautuu nousuun.	2.800000
A line of scooters are parking in the middle of a street.	Rivi potkulautoja pysäköitynä keskelle katua.	A line of motor bikes are parked in the middle of a street.	Rivi moottoripyöriä on pysäköity kadulle.	4.400000
A man holding a cat.	Mies pitelee kissaa.	A man holding a dog.	Mies pitelee koiraa.	3.000000
A man doing a jumping bike trick surrounded by trees.	Mies tekee hyppypyörätemppua puiden ympäröimänä.	A boy riding a green trick bike over some steps outdoors.	Poika ajaa vihreällä temppupyörällä portaiden yli ulkona.	3.000000
Three guys in speedos have their feet up on the railing of a boat getting a tan.	Kolme kaverusta speedoissa on jalat veneen kaiteella ottamassa aurinkoa.	A few men on the deck are dropping another man into the water	Muutamat kannella olevat miehet pudottavat yhden miehen veteen	1.600000
A group wading across a witch	Ryhmä kahlaa noidan yli.	A group wading across a ditch	Ryhmä kahlaa ojan yli	2.800000
A woman jumps and poses for the camera.	Nainen hyppää ja poseeraa kameralle.	A woman poses for the camera.	A woman poses for the camera.	4.000000
A man is on a rooftop	Mies on katolla	A man is holding a microphone in a room.	Mies pitää mikrofonia huoneessa.	0.800000
There are two men near a wall.	Seinän lähellä on kaksi miestä.	Three women are sitting near a wall.	Kolme naista istuu seinän lähellä.	2.000000
The cats are running through the grass.	Kissat juoksevat ruohikossa.	Some dogs running through the park.	Koirat juoksevat puiston läpi.	2.000000
The two boys are playing kick ball back and forth to each other.	Kaksi poikaa potkii palloa toisilleen edestakaisin.	The players are kicking each other while attempting to kick the ball.	Pelaajat potkivat toisiaan yrittäessään potkaista palloa.	3.000000
Two girls are running.	Kaksi tyttöä juoksee.	Three boys are running.	Kolme poikaa juoksee.	2.200000
The two men are wearing jeans.	Kaksi miestä pukeutuneena farkkuihin.	The two men are wearing pants.	Kaksi miestä pukeutuneena housuihin.	4.400000
A little girl in a white blouse and blue pants frolics on the grass.	Pieni tyttö valkoisessa puserossa ja sinisissä housuissa ilakoi ruohikolla.	A woman in a green shirt and white pants golfs on the green.	Nainen vihreässä paidassa ja valkoisissa housuissa golfaa viheriöllä.	1.800000
The man without a shirt is jumping.	Mies ilman paitaa hyppää.	The man jumping is not wearing a shirt.	Hyppäävällä miehellä ei ole paitaa.	4.600000
The woman is holding the hands of the man.	Nainen pitää miestä käsistä.	The woman is checking the eyes of the man.	Nainen tarkistaa miehen silmät.	2.400000
A man walks his dog on the beach.	Mies kävelyttää koiraansa rannalla.	A man with his dog on the beach.	Mies koiransa kanssa rannalla.	4.400000
The child is the woman's kid.	Lapsi on naisen lapsi.	There is a boy and a girl.	On poika ja tyttö.	0.800000
A soccer player is kicking the ball.	Jalkapalloilija potkaisee palloa.	The soccer player gave the ball a high kick.	Jalkapalloilija antoi korkean potkun.	3.800000
Two boys in black swimming trunks are holding another boy by his arms and legs on a beach.	Kaksi poikaa mustissa uimahousuissa pitelevät kolmatta poikaa käsistä ja jaloista rannalla.	Man in white shirt flipping young boy in the water with four other boys surrounding them.	Mies valkoisessa paidassa pyöräyttää nuorta poikaa vedessä neljän muun pojan ympäröimänä.	1.400000
The player shoots the winning points.	Pelaaja tekee voittopisteet.	The basketball player is about to score points for his team.	Koripalloilija on tekemässä pisteitä joukkueelleen.	2.800000
A man in a white shirt and hat playing a guitar.	Mies valkoisessa paidassa ja hatussa soittaa kitaraa.	A man in a green shirt and black hat playing a guitar on stage.	Mies vihreässä paidassa ja mustassa hatussa soittamassa kitaraa lavalla.	2.800000
A black hooded man is using a large magnifying glass to look at a booklet.	Mustahupullinen mies käyttää suurta suurennuslasia katsoakseen kirjasta.	A white hooded woman is using a magnifying glass to look at a booklet.	Valkohupullinen nainen käyttää suurennuslasia katsoakseen vihkosta.	2.800000
the people are running a marathon	ihmiset juoksevat maratonia	People are running a marathon	Ihmiset juoksevat maratonia	5.000000
A motorcross driver going by during a race	Motocross-kuljettaja ajaa ohi kilpailun aikana	A race car driver performs in the race of his life.	Kilpa-autoilija ajaa elämänsä kisan.	3.000000
A group of people are nervous about crossing the water.	Ryhmä ihmisiä on hermostunut veden ylittämisestä.	A group of people are on the water.	Ryhmä ihmisiä on vedessä.	2.200000
A group of kids are having a jumping contest.	Ryhmä lapsia pitää hyppykilpailua.	A group of kids are having a sleepover.	Ryhmä lapsia on yökylässä.	1.200000
The gate is blue.	Portti on sininen.	The gate is yellow.	Portti on keltainen.	1.600000
The person is wearing a fedora.	Henkilöllä on päässään fedora.	A man is wearing a uniform.	Miehellä on yllään univormu.	1.600000
A woman and a man embrace while watching a horror movie.	Nainen ja mies syleilevät katsellessaan kauhuelokuvaa.	A man and a woman watch a movie together.	Mies ja nainen katsovat elokuvaa yhdessä.	2.800000
A man in a blue dress shirt.	Mies sinisessä puvun paidassa.	A man in a white shirt and blue pants is talking with a woman in a pink shirt.	Mies valkoisessa paidassa ja sinisissä housuissa puhuu vaaleanpunaisessa paidassa olevan naisen kanssa.	1.800000
A couple is playing the game of Life.	Pariskunta pelaa elämänpeliä.	The family is playing a game together.	Perhe pelaa peliä yhdessä.	2.600000
The head of a child with dark glasses is in focus.	Tummia laseja pitävän lapsen pää on tarkennettuna.	There is a woman with a full head of hair.	Naisella on hiukset tallella.	0.200000
A dog walks along a beach with breaking waves.	Koira kävelee pitkin rantaa aaltojen vaahdotessa.	A boy with an oar walks out of the surf and onto a beach.	Poika airon kanssa kävelee aallokosta rannalle.	1.000000
A pair of men walk along the beach.	Mieskaksikko kävelee pitkin rantaa.	Two men standing in the surf on a beach.	Kaksi miestä seisoo aallokossa rannalla.	2.600000
Blond woman in a tunnel.	Vaalea nainen tunnelissa.	The couple kissing is near a blond woman.	Pariskunta suutelee lähellä vaaleaa naista.	1.600000
A maintenance guy is repairing a net on a tennis court.	Huoltomies korjaa verkkoa tenniskentällä.	A man removing a tennis net.	Mies poistaa tenniverkon.	2.400000
A kid sits on a soccer ball outside.	Lapsi istuu ulkona jalkapallolla.	A kid sitting on a soccer ball at the park.	Lapsi istuu jalkapallolla puistossa.	4.200000
The raven droned as is hopped along the grass.	Korppi surisi hyppiessään ruohikkoa pitkin.	The skinny dog with the long tail is traveling through the field.	Laiha koira, jolla on pitkä häntä, kulkee pellon läpi.	0.200000
A man in a brown coat rubs his nose.	Ruskeassa takissa oleva mies hieroo nenäänsä.	A bald man with a red beard holds his hand near his mouth.	Kalju mies, jolla on punainen parta, pitää kättään lähellä suutaan.	2.200000
The dog is chasing the geese.	Koira jahtaa hanhia.	One dog is chasing the other.	Yksi koira jahtaa toista.	1.600000
Small child playing with letter P	Pieni lapsi leikkii kirjaimella P	2 young girls are sitting in front of a bookcase and 1 is reading a book.	2 nuorta tyttöä istuu kirjahyllyn edessä ja yksi lukee kirjaa.	0.800000
A brown dog is jumping.	Ruskea koira hyppii.	A brown dog is jumping	Ruskea koira hyppii	5.000000
the man is catching a ball	mies on nappaamassa palloa	A man is kicking a ball.	Mies potkaisee palloa.	3.000000
Two men are sitting in the room.	Kaksi miestä istuu huoneessa.	Two men are standing in a room.	Kaksi miestä seisoo huoneessa.	3.000000
A group of teenagers in red shirts are smiling.	Ryhmä teini-ikäisiä punaisissa paidoissa hymyilee.	A group of people are wearing orange shirts.	Ryhmä ihmisiä pitää yllään oransseja paitoja.	1.200000
The woman is waiting for her date.	Nainen odottaa deittiään.	The woman is on her way to a date.	Nainen on matkalla treffeille.	3.200000
